dataset_key,title,countryCode,doi,license,type,sub_type,hosting_organization_key,hosting_organization_title,hosting_country,publishing_organization_key,publishing_organization_title,publishing_country,endorsing_node_key,network_keys,project_identifier,occurrence_records_count,name_usages_count
32ad19ed-6b89-447a-9242-795c0897f345,"Global Register of Introduced and Invasive Species - United States (Contiguous) (ver.2.0, 2022)",US_C,10.5066/p9kfftod,CC0_1_0,CHECKLIST,,c3ad790a-d426-4ac1-8e32-da61f81f0117,United States Geological Survey,US,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,https://doi.org/10.5066/P9KFFTOD,12795,9930
6baf6a53-c106-40fb-bbde-f6d4e4051513,"Global Register of Introduced and Invasive Species - Hawaii, United States (ver.2.0, 2022)",US-HI,10.5066/p9kfftod,CC0_1_0,CHECKLIST,,c3ad790a-d426-4ac1-8e32-da61f81f0117,United States Geological Survey,US,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,https://doi.org/10.5066/P9KFFTOD,9835,6916
6d9e952f-948c-4483-9807-575348147c7e,Global Register of Introduced and Invasive Species - Belgium,BE,10.15468/xoidmd,CC_BY_4_0,CHECKLIST,,1cd669d0-80ea-11de-a9d0-f1765f95f18b,Research Institute for Nature and Forest (INBO),BE,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,b153643d-735a-440f-a0e9-428b4f9d1cd2,TrIAS,0,6452
38de3b7a-5af3-4b6f-a1c5-4c0aa6abf010,Global Register of Introduced and Invasive Species - Norway,NO,10.15468/9oaedf,CC_BY_4_0,CHECKLIST,INVENTORY_THEMATIC,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,5459
692a0aec-70e2-4038-ac9c-9a1d7acc025f,Global Register of Introduced and Invasive Species - France,FR,10.15468/up1tr5,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,4301
1288ee7d-d67c-4e23-8d95-409973067383,Global Register of Introduced and Invasive Species - Great Britain,GB,10.15468/8rzqvw,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,3826
15147db1-27c3-49b5-9c69-c78d55a4b8ff,Global Register of Introduced and Invasive Species - Australia,AU,10.15468/3pz20c,CC_BY_4_0,CHECKLIST,INVENTORY_THEMATIC,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,3506
ad5cba8c-45fb-428c-aafa-7ff013d0fdaf,Global Register of Introduced and Invasive Species - Denmark,DK,10.15468/1jbiia,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,3376
5c5a6e45-d510-45ed-b7bf-6d0624fac056,Global Register of Introduced and Invasive Species- Japan,JP,10.15468/nt2yla,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,3305
c1a61294-6195-4055-9b22-a2e48e5e16d7,Global Register of Introduced and Invasive Species - Sweden,SE,10.15468/i57bff,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,3136
3cabcf37-db13-4dc1-9bf3-e6f3fbfbbe23,Global Register of Introduced and Invasive Species - South Africa,ZA,10.15468/l6smob,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,2997
1100c043-55c0-433d-b2f3-60747ab9de11,Global Register of Introduced and Invasive Species - Austria,AT,10.15468/ygo6zy,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,2763
250aa99d-b510-4f89-a68a-0a463ab7c530,Global Register of Introduced and Invasive Species - Poland,PL,10.15468/xxgzzh,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,2681
b09c3987-af9a-4658-9bfd-19cf712ac3d1,Global Register of Introduced and Invasive Species - India,IN,10.15468/uvnf8m,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,2641
f6ae66a3-f267-4d03-8541-fdfa7ffc9eaf,Global Register of Introduced and Invasive Species - Italy,IT,10.15468/n4iafs,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,2594
42e9b7bc-81d7-41d7-9508-1b06a688f062,Global Register of Introduced and Invasive Species - Czechia,CZ,10.15468/9tcwfe,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,2462
2a25bba9-eb59-461e-b458-a4a609b5154e,"Global Register of Introduced and Invasive Species - Galápagos Islands, Ecuador",EC-W,10.15468/gabofb,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,2122
b95e74e0-b772-430c-a729-9d56ce0182e2,Global Register of Introduced and Invasive Species - Canada,CA,10.15468/aqdoqp,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,2059
7185a1d5-9dc2-44fc-b3ef-5e4d068f12f1,Global Register of Introduced and Invasive Species - Mexico,MX,10.15468/08knmc,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,2034
552a09b1-98d1-42a3-b8d7-f406759493fd,"Protected Areas - Global Register of Introduced and Invasive Species - Galápagos Islands, Ecuador",EC_GP,10.15468/7ui6n0,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,1986
278c9199-be97-4fd0-9c6c-6c46c4e2369e,Global Register of Introduced and Invasive Species - Ireland,IE,10.15468/br8rgw,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,1966
089ede6e-6496-4638-915e-f28f016c2f89,Global Register of Introduced and Invasive Species - Russian Federation,RU,10.15468/f6joyb,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,1936
aaa48ec4-fd8c-466c-ae23-6cf72184ddb0,"Global Register of Introduced and Invasive Species - Tenerife, Islas Canarias, Spain",ES-CN_TF,10.15468/2fhywf,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,1826
2a281675-c184-4d54-a47e-5d3a7ec6653f,Global Register of Introduced and Invasive Species - Germany,DE,10.15468/yazb1f,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,1769
21cf83b3-fec6-4c42-95bc-b8555a991bc3,Global Register of Introduced and Invasive Species - Brazil,BR,10.15468/i0avrm,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,1769
